Date,Open,High,Low,Turnover
02-03-2009,43.19,43.38,41.44,43.17
03-03-2009,43.17,43.9,41.2,43.89
04-03-2009,43.89,43.89,42.16,42.52
05-03-2009,42.52,42.71,40.41,41.49
06-03-2009,41.49,41.49,37.57,38.16
09-03-2009,38.16,41.14,38.16,40.87
12-03-2009,40.87,40.87,38.5,39.27
13-03-2009,39.27,39.27,35.08,35.56
16-03-2009,35.56,37.88,35.56,36.7
17-03-2009,36.7,38.76,34.85,38.43
18-03-2009,38.43,38.86,36.99,38.15
19-03-2009,38.15,38.6,36.65,37.74
20-03-2009,37.74,37.99,34.98,37
23-03-2009,37,38.6,36.62,38.59
24-03-2009,38.59,39.86,36.34,38.02
25-03-2009,38.02,41.7,35.94,37.41
26-03-2009,37.41,40.2,36.52,37.23
27-03-2009,37.23,40.34,36.79,37.58
30-03-2009,37.58,41.31,37.58,40.09
31-03-2009,40.09,41.03,39.16,39.49
01-04-2009,39.49,39.49,36.42,36.44
02-04-2009,36.44,37.82,34.26,37.37
06-04-2009,37.37,42.4,36.44,41.02
08-04-2009,41.02,43.54,39.64,43.29
09-04-2009,43.29,44.35,40.34,43.21
13-04-2009,43.21,47.32,42.98,46.57
15-04-2009,46.57,48.91,44.31,47.59
16-04-2009,47.59,51.55,44.47,50.1
17-04-2009,50.1,51.58,44.98,50.65
20-04-2009,50.65,55.6,44.57,54.41
21-04-2009,54.41,54.99,50.38,53.27
22-04-2009,48.47,54.39,48.47,53.59
23-04-2009,46.98,52.69,46.98,49.23
24-04-2009,45.68,49.14,45.48,47.12
27-04-2009,47.12,50.47,47.12,49.11
28-04-2009,49.11,49.89,47.25,48.74
29-04-2009,48.74,48.74,45.74,45.87
04-05-2009,45.87,50.66,45.16,50.51
05-05-2009,50.51,51.68,48.35,51.14
06-05-2009,51.14,53.7,48.85,52.04
07-05-2009,52.04,53.84,51.04,51.08
08-05-2009,51.08,51.08,48.45,50.94
11-05-2009,50.94,55.23,50.76,54.76
12-05-2009,54.76,54.76,49.99,52.2
13-05-2009,52.2,53.01,48.34,52.97
14-05-2009,49.02,53.38,49.02,52.32
15-05-2009,52.32,52.32,44.7,52.01
18-05-2009,52.01,52.01,52.01,52.01
19-05-2009,52.01,57.1,48.01,56.07
20-05-2009,51.05,54.66,49.4,49.51
21-05-2009,46.24,47.98,42.22,43.31
22-05-2009,39.22,44.6,39.22,41.97
25-05-2009,35.12,42.59,35.12,39.38
26-05-2009,39.38,44.3,39.38,43.87
27-05-2009,43.87,43.87,39.27,39.74
28-05-2009,39.74,39.77,37.78,37.78
29-05-2009,37.78,41.31,37.17,40.57
01-06-2009,40.57,42.22,38.3,41.02
02-06-2009,41.02,41.02,38.98,40.17
03-06-2009,40.17,40.23,35.72,39.42
04-06-2009,39.42,40.57,33.71,40.2
05-06-2009,40.2,40.73,37.5,40
08-06-2009,40,42.11,37.99,42.06
09-06-2009,42.06,42.06,37.43,39.84
10-06-2009,39.84,40.08,35.99,39.44
11-06-2009,39.44,41.05,37.21,40.86
12-06-2009,40.86,40.86,38.36,40.19
15-06-2009,40.19,42.55,38.66,41.13
16-06-2009,35.09,41.87,35.09,41.44
17-06-2009,41.44,44.96,37.76,44.89
18-06-2009,42.75,45.18,42.23,44.95
19-06-2009,40.3,44.04,40.3,42.47
22-06-2009,40.68,45,40.68,44.17
23-06-2009,44.17,44.17,44.17,44.17
24-06-2009,44.17,49.31,44.17,44.17
25-06-2009,44.17,46.16,41.73,43.63
26-06-2009,43.63,43.63,37.73,38.3
29-06-2009,38.3,40.67,38.3,40.51
30-06-2009,40.51,43.38,40.2,42.52
01-07-2009,42.52,44.38,41.94,43.07
02-07-2009,43.07,44.54,42.78,43.8
03-07-2009,43.8,46.55,43.8,46.55
06-07-2009,46.55,47.25,39.3,39.7
07-07-2009,39.7,39.7,35.53,36.22
08-07-2009,36.22,37.59,34.71,37.27
09-07-2009,37.27,37.81,35.73,35.96
10-07-2009,35.96,36.65,34.97,35.03
13-07-2009,35.03,37.55,35.03,36.5
14-07-2009,36.5,36.5,34.2,34.67
15-07-2009,34.67,36.33,31.41,36.12
16-07-2009,33.38,38.18,33.38,37.58
17-07-2009,34.34,37.23,34.34,35.95
20-07-2009,34.65,37.65,34.32,36.97
21-07-2009,36.59,37.49,36.31,36.56
22-07-2009,35.24,37.29,35.24,37.13
23-07-2009,35.72,36.9,35.72,36.31
24-07-2009,34.97,37.27,34.97,36.59
27-07-2009,36.11,38.57,36.11,37.43
28-07-2009,37.43,37.48,35.95,35.95
29-07-2009,35.95,37.62,35.73,37.55
30-07-2009,37.55,37.55,35.65,36.6
31-07-2009,36.6,36.6,34.88,36.14
03-08-2009,36.14,37.67,35.4,37.38
04-08-2009,37.38,37.48,36.32,37.1
05-08-2009,37.1,37.99,36.16,37.04
06-08-2009,36.13,38.41,35.57,38
07-08-2009,38,38.49,32.33,37.74
10-08-2009,37.74,39.89,36.72,39.14
11-08-2009,39.14,39.2,31.59,39.04
12-08-2009,37.31,40.61,36.36,38.89
13-08-2009,34.76,38.75,34.76,35.95
14-08-2009,34.28,37.75,34.28,36.74
17-08-2009,34.83,41.89,34.83,41.28
18-08-2009,36.37,41.09,36.37,38.74
19-08-2009,35.49,40.29,35.49,39.55
20-08-2009,37.46,38.86,37.29,37.65
21-08-2009,35.38,38.02,35.38,36.07
24-08-2009,34.24,35.97,34.24,35.51
25-08-2009,35.51,36.31,34.93,35.18
26-08-2009,35.18,35.18,34.23,34.35
27-08-2009,34.35,34.73,33.54,33.6
28-08-2009,33.6,34.26,32.45,33.5
31-08-2009,33.5,35.01,33.22,34.22
01-09-2009,31.71,35.76,31.71,34.79
02-09-2009,34.79,35.58,31.17,34.73
03-09-2009,33.73,35.3,33.3,33.82
04-09-2009,33.82,33.82,32.15,32.39
07-09-2009,33.6,33.6,31.91,32.05
08-09-2009,26.08,32.41,26.08,31.78
09-09-2009,32.14,32.16,31.4,31.41
10-09-2009,30.49,31.67,30.49,31.36
11-09-2009,29.51,31.38,29.37,30.58
14-09-2009,31.63,32.34,31.55,31.55
15-09-2009,31.11,31.4,29.76,30.12
16-09-2009,29.01,29.55,28.21,28.29
17-09-2009,27.97,28.48,27.63,27.89
18-09-2009,27.14,28.08,26.8,26.99
22-09-2009,26.99,32.66,26.3,26.87
23-09-2009,26.87,27.5,26.27,26.47
24-09-2009,26.47,27.99,24.29,24.31
25-09-2009,24.31,27.77,24.05,25.69
29-09-2009,25.69,27.2,25.69,26.17
30-09-2009,26.17,26.63,25.01,25.29
01-10-2009,25.29,25.65,25.06,25.24
05-10-2009,25.24,28.94,25.24,28.68
06-10-2009,26.57,30.25,26.57,27.73
07-10-2009,27.73,30.72,27.16,30.53
08-10-2009,28.39,30.15,28.39,29.9
09-10-2009,27.2,30.6,27.2,30.24
12-10-2009,29.73,30.85,28.01,28.1
14-10-2009,27.72,27.92,26.37,26.37
15-10-2009,22.84,27.64,22.84,26.64
16-10-2009,25.45,27.17,25.45,25.94
17-10-2009,25.94,26.36,23.5,26.29
20-10-2009,23.73,26.95,23.73,26.67
21-10-2009,25.53,27.17,25.53,26.77
22-10-2009,25.55,27.29,25.55,26.51
23-10-2009,25.02,25.92,24.86,25.22
26-10-2009,23.56,26.55,23.56,26.04
27-10-2009,26.04,28.17,25.22,28.07
28-10-2009,28.07,28.68,27,28.49
29-10-2009,28.13,31.98,27.73,28.31
30-10-2009,25.91,29.37,25.7,28.81
03-11-2009,25.29,33.05,25.29,32.04
04-11-2009,28.54,32.42,28.54,30.04
05-11-2009,28.48,31.8,28.48,30.03
06-11-2009,27.38,30.73,27.38,29.21
09-11-2009,29.21,30.9,28.94,29.52
10-11-2009,26.85,30.5,26.85,30.15
11-11-2009,30.23,31.7,28.59,30.84
12-11-2009,27.17,30.41,27.17,29.61
13-11-2009,26.63,29.94,26.63,29.65
16-11-2009,29.65,29.65,27.8,28.04
17-11-2009,28.04,28.06,26.75,26.75
18-11-2009,25.18,26.84,25.18,26.29
19-11-2009,23.72,27.91,23.72,27.48
20-11-2009,27.48,29.1,26.23,28.61
23-11-2009,28.61,28.61,24.48,26.28
24-11-2009,26.28,26.85,24.94,25.45
25-11-2009,25.45,26.47,23.62,24.66
26-11-2009,24.66,30.13,24.51,28.12
27-11-2009,28.12,35.84,28.12,30.13
30-11-2009,30.13,30.13,26.74,27.4
01-12-2009,25.57,26.7,24.94,26.27
02-12-2009,24.08,26.16,24.08,25.64
03-12-2009,25.64,27.3,24.73,25.59
04-12-2009,23.78,26.9,23.78,25.61
07-12-2009,24.09,27.5,24.09,26.95
08-12-2009,26.95,28.81,26.08,26.23
09-12-2009,25.23,27.38,25.23,27.36
10-12-2009,25.17,27.79,25.17,27.03
11-12-2009,24.78,27.75,24.78,26.76
14-12-2009,24.72,28.27,24.72,27.82
15-12-2009,25.81,28.68,25.81,28.59
16-12-2009,27.38,28.39,27.28,27.36
17-12-2009,23.5,27.65,23.5,27.23
18-12-2009,25.5,27.21,25.5,26.59
21-12-2009,24.19,27.34,24.19,25.95
22-12-2009,24.97,25.75,24.5,24.69
